How many students? Enter score for student 0: Enter score for student 1: Enter score for student 2: Enter score for student 3: Enter score for student 4: Enter score for student 5: Enter score for student 6: Enter score for student 7: Enter score for student 8: Enter score for student 9: Enter score for student 10: Enter score for student 11: Enter score for student 12: Enter score for student 13: Enter score for student 14: Enter score for student 15: Enter score for student 16: Enter score for student 17: Enter score for student 18: Enter score for student 19: Enter score for student 20: Enter score for student 21: Enter score for student 22: Enter score for student 23: Enter score for student 24: Enter score for student 25: Enter score for student 26: Enter score for student 27: Enter score for student 28: Enter score for student 29: Enter score for student 30: Enter score for student 31: Enter score for student 32: Enter score for student 33: Enter score for student 34: Enter score for student 35: Enter score for student 36: Enter score for student 37: Enter score for student 38: Enter score for student 39: Enter score for student 40: Enter score for student 41: Enter score for student 42: Enter score for student 43: Enter score for student 44: Enter score for student 45: Enter score for student 46: Enter score for student 47: Enter score for student 48: Enter score for student 49: Enter score for student 50: Enter score for student 51: Enter score for student 52: Enter score for student 53: Enter score for student 54: Enter score for student 55: Enter score for student 56: Enter score for student 57: Enter score for student 58: Enter score for student 59: Enter score for student 60: Enter score for student 61: Enter score for student 62: Enter score for student 63: Enter score for student 64: Enter score for student 65: Enter score for student 66: Enter score for student 67: Enter score for student 68: Enter score for student 69: Enter score for student 70: Enter score for student 71: Enter score for student 72: Enter score for student 73: Enter score for student 74: Enter score for student 75: Enter score for student 76: Enter score for student 77: Enter score for student 78: Enter score for student 79: Enter score for student 80: Enter score for student 81: Enter score for student 82: Enter score for student 83: Enter score for student 84: Enter score for student 85: Enter score for student 86: Enter score for student 87: Enter score for student 88: Enter score for student 89: Enter score for student 90: Enter score for student 91: Enter score for student 92: Enter score for student 93: Enter score for student 94: Enter score for student 95: Enter score for student 96: Enter score for student 97: Enter score for student 98: Enter score for student 99: 
--- Results ---
Student 0 score: 1
Student 1 score: 2
Student 2 score: 3
Student 3 score: 4
Student 4 score: 5
Student 5 score: 6
Student 6 score: 7
Student 7 score: 8
Student 8 score: 9
Student 9 score: 10
Student 10 score: 11
Student 11 score: 12
Student 12 score: 13
Student 13 score: 14
Student 14 score: 15
Student 15 score: 16
Student 16 score: 17
Student 17 score: 18
Student 18 score: 19
Student 19 score: 20
Student 20 score: 21
Student 21 score: 22
Student 22 score: 23
Student 23 score: 24
Student 24 score: 25
Student 25 score: 26
Student 26 score: 27
Student 27 score: 28
Student 28 score: 29
Student 29 score: 30
Student 30 score: 31
Student 31 score: 32
Student 32 score: 33
Student 33 score: 34
Student 34 score: 35
Student 35 score: 36
Student 36 score: 37
Student 37 score: 38
Student 38 score: 39
Student 39 score: 40
Student 40 score: 41
Student 41 score: 42
Student 42 score: 43
Student 43 score: 44
Student 44 score: 45
Student 45 score: 46
Student 46 score: 47
Student 47 score: 48
Student 48 score: 49
Student 49 score: 50
Student 50 score: 51
Student 51 score: 52
Student 52 score: 53
Student 53 score: 54
Student 54 score: 55
Student 55 score: 56
Student 56 score: 57
Student 57 score: 58
Student 58 score: 59
Student 59 score: 60
Student 60 score: 61
Student 61 score: 62
Student 62 score: 63
Student 63 score: 64
Student 64 score: 65
Student 65 score: 66
Student 66 score: 67
Student 67 score: 68
Student 68 score: 69
Student 69 score: 70
Student 70 score: 71
Student 71 score: 72
Student 72 score: 73
Student 73 score: 74
Student 74 score: 75
Student 75 score: 76
Student 76 score: 77
Student 77 score: 78
Student 78 score: 79
Student 79 score: 80
Student 80 score: 81
Student 81 score: 82
Student 82 score: 83
Student 83 score: 84
Student 84 score: 85
Student 85 score: 86
Student 86 score: 87
Student 87 score: 88
Student 88 score: 89
Student 89 score: 90
Student 90 score: 91
Student 91 score: 92
Student 92 score: 93
Student 93 score: 94
Student 94 score: 95
Student 95 score: 96
Student 96 score: 97
Student 97 score: 98
Student 98 score: 99
Student 99 score: 100
